127.0.0.1, 2011-12-23 00:32:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000351
127.0.0.1, 2011-12-23 00:32:23, GET, /admin/default/twitter, HTTP/1.1, 200, 1.532494
127.0.0.1, 2011-12-23 00:32:39, POST, /admin/default/site, HTTP/1.1, 303, 0.030375
127.0.0.1, 2011-12-23 00:32:39, GET, /admin/default/design/jmtws, HTTP/1.1, 200, 0.040213
127.0.0.1, 2011-12-23 00:32:39, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000455
127.0.0.1, 2011-12-23 00:32:39, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000398
127.0.0.1, 2011-12-23 00:32:39, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000390
127.0.0.1, 2011-12-23 00:32:39, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000388
127.0.0.1, 2011-12-23 00:32:39, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.000425
127.0.0.1, 2011-12-23 00:32:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000367
127.0.0.1, 2011-12-23 00:32:49, GET, /admin/default/edit/jmtws/models/menu.py, HTTP/1.1, 200, 0.024044
127.0.0.1, 2011-12-23 00:32:50, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.000495
127.0.0.1, 2011-12-23 00:32:50, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000458
127.0.0.1, 2011-12-23 00:32:50, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000471
127.0.0.1, 2011-12-23 00:32:50, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.000487
127.0.0.1, 2011-12-23 00:32:50, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.000436
127.0.0.1, 2011-12-23 00:32:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000365
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.000438
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.000422
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.000417
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.000420
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.000425
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.000423
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.000421
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.000414
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.000424
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.000456
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.000423
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.000419
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.000416
127.0.0.1, 2011-12-23 00:32:51, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.000427
127.0.0.1, 2011-12-23 00:32:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000359
127.0.0.1, 2011-12-23 00:33:00, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.014341
127.0.0.1, 2011-12-23 00:33:13, GET, /admin/default/design/jmtws, HTTP/1.1, 200, 0.046407
127.0.0.1, 2011-12-23 00:33:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000209
127.0.0.1, 2011-12-23 00:33:18, GET, /admin/default/edit/jmtws/models/db.py, HTTP/1.1, 200, 0.022818
127.0.0.1, 2011-12-23 00:33:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000369
127.0.0.1, 2011-12-23 00:33:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000394
127.0.0.1, 2011-12-23 00:33:29, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.015423
127.0.0.1, 2011-12-23 00:34:46, POST, /admin/default/edit/jmtws/models/db.py, HTTP/1.1, 200, 0.015817
